KS1295[%],6082[%],2024[%],bat-box[%],3003[%],4032[%],Al,Si,Cu,Ni,Mg,Mn,Fe,Cr,Ti,Zr,V,Zn,Vf_FCC_A1,Vf_DIAMOND_A4,Vf_AL15SI2M4,Vf_AL3X,Vf_AL6MN,Vf_MG2ZN3,Vf_AL3NI2,Vf_AL3NI_D011,Vf_AL7CU4NI,Vf_AL2CU_C16,Vf_Q_ALCUMGSI,Vf_AL7CU2FE,Vf_MG2SI_C1,Vf_AL9FE2SI2,Vf_AL18FE2MG7SI10,eut. frac.[%],eut. T (degC),T_FCC_A1,T_DIAMOND_A4,T_AL15SI2M4,T_AL3X,T_AL6MN,T_MG2ZN3,T_AL3NI2,T_AL3NI_D011,T_AL7CU4NI,T_AL2CU_C16,T_Q_ALCUMGSI,T_AL7CU2FE,T_MG2SI_C1,T_AL9FE2SI2,T_AL18FE2MG7SI10,T(liqu),T(sol),delta_T,delta_T_FCC,delta_T_Al15Si2M4,delta_T_Si,CSC,YS(MPa),hardness(Vickers),CTEvol(1/K)(20.0-300.0degC),Density(g/cm3),Volume(m3/mol),El.conductivity(S/m),El. resistivity(ohm m),heat capacity(J/(mol K)),Therm.conductivity(W/(mK)),Therm. diffusivity(m2/s),Therm.resistivity(mK/W),Linear thermal expansion (1/K)(20.0-300.0degC),Technical thermal expansion (1/K)(20.0-300.0degC),Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Total_Vf_Phases
23.1,29.7,29.7,9.9,6.6,1.0,91.346114,3.641191,2.28567,0.49447,0.877509,0.586891,0.395461,0.072473,0.07483,0.023251,0.027409,0.174731,88.13368,2.18685,2.53857,0.00284,0.28962,0.0,1.07318,0.0358899999999999,1.13343,0.00434,0.4811,0.00405,0.45349,0.31637,0.17342,62.58675,596.5316,626.65239,548.84874,664.08628,0.0,261.17718,0.0,544.62019,176.1834,533.40827,224.07543,465.30212,470.94883,537.27727,355.9204,498.34077,663.8418,533.4235,130.4183,241516.45055,130.66278,15.42524,0.4224274,257.99546,78.96664,7.77837e-05,2.71168,1.01875e-05,12812000,7.80382e-08,27.6689,175.761,6.46124e-05,0.00570215,2.59298e-05,2.36704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.82683000000002
6.6,29.7,16.5,0.0,19.8,27.4,90.664334,4.664125,1.89297,0.50107,0.80712,0.60514,0.494065,0.057986,0.05833,0.029686,0.030874,0.1943,87.87267,2.98249,2.82799,0.00103,0.54521,0.0,1.12389,0.16304,0.89534,0.00526,0.37563,0.003,0.45224,0.4899,0.17114,38.55275,567.05452,621.10751,555.59012,665.18898,0.0,157.71506,0.0,545.74584,505.1533,530.17415,174.78112,433.36055,480.38177,537.74595,360.66379,505.03741,665.5726,533.53,132.0426,115300.34405,131.65898,22.06012,0.4431906,274.78873,83.97122,7.70176e-05,2.70561,1.02032e-05,12646500,7.90657e-08,27.6373,174.305,6.43637e-05,0.00573421,2.56777e-05,2.34312e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.90883000000001
3.3,42.9,0.0,9.9,9.9,34.0,89.722217,4.974391,2.488785,0.519385,0.898299,0.489871,0.480271,0.05759,0.07153,0.024868,0.025462,0.247331,86.38892,2.87859,2.4349,0.00121,0.68944,0.0,1.02726,0.0695999999999999,1.29535,0.01429,0.52796,0.0039,0.49788,0.43362,0.18506,43.08887,565.87037,618.74425,553.83027,666.58773,0.0,331.72676,0.0,544.70462,255.57065,533.28088,222.24915,473.06303,451.97343,536.44493,381.89975,478.20775,666.5822,533.1046,133.4776,82535.76945,133.48313,20.72567,0.4244802,282.81074,86.57361,7.67368e-05,2.7128,1.02137e-05,12487800,8.012e-08,27.6298,171.295,6.32357e-05,0.00583212,2.55679e-05,2.33452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.44798
9.9,39.6,42.9,3.3,0.0,4.3,92.584571,2.481472,2.26983,0.276505,0.948393,0.627052,0.361372,0.090128,0.082585,0.023779,0.025561,0.228752,89.33021,1.27448,2.46176,0.00479,0.20364,0.0,0.25671,0.0225500000000007,1.1867,0.01046,0.57945,0.0038,0.41137,0.19365,0.10446,64.24079,621.82931,634.24163,539.80025,661.61983,0.0,252.72143,0.0,541.35455,172.48162,535.73662,375.69795,510.27832,479.31658,537.38198,391.89939,442.12366,661.4917,530.0842,131.4075,151690.78985,131.53563,9.71605,0.4129664,251.53868,77.39154,7.90593e-05,2.7122,1.01654e-05,13136400,7.61025e-08,27.7061,178.092,6.54265e-05,0.00560825,2.63394e-05,2.40535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.04402999999998
6.6,72.6,3.3,0.0,0.0,17.5,89.765249,3.4687,3.76737,0.379795,1.00347,0.584515,0.45463,0.068711,0.105025,0.024736,0.025924,0.351875,84.0008,1.86879,2.88035,0.00345,1.32099,0.0,0.18682,0.0556700000000002,2.56391,0.01776,1.05642,0.01029,0.317,0.25408,0.08755,35.11341,562.81485,622.75542,540.5616,669.01114,0.0,350.91845,0.0,538.84293,171.58651,535.07638,438.58432,527.09147,472.1091,532.13624,434.0258,472.2755,668.8499,523.517,145.3329,123117.35705,145.49414,17.0445999999999,0.3641571,271.42382,82.99444,7.73527e-05,2.7446,1.01675e-05,12381900,8.07027e-08,27.6657,167.343,6.14935e-05,0.00597602,2.5781e-05,2.35384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.62388
9.9,42.9,16.5,9.9,9.9,10.9,91.632356,3.147841,2.521455,0.35653,0.868269,0.612136,0.428791,0.068051,0.078625,0.024604,0.026386,0.234956,87.82358,1.32371,2.64924,0.0029,0.47582,0.0,0.45542,0.0411900000000003,1.39991,0.00938,0.5828,0.00483,0.36257,0.25371,0.13463,40.96725,576.59242,632.0375,544.64429,662.5164,0.0,300.52468,0.0,542.39724,172.40157,533.31843,349.43937,502.01407,482.47152,534.66863,404.72496,484.99173,662.3406,530.7132,131.6274,152187.16085,131.8032,13.9310899999999,0.4100005,253.32215,77.59579,7.86254e-05,2.71772,1.01807e-05,12899600,7.75124e-08,27.7002,175.385,6.44875e-05,0.0057312,2.62034e-05,2.39088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.51969000000003
0.0,66.0,16.5,6.6,6.6,4.30000000000001,92.988755,1.185694,3.1638,0.0765249999999999,0.907176,0.713809,0.411664,0.077423,0.098425,0.025,0.025,0.326729,86.4179,0.14362,2.49698,0.00383,1.08956,0.0,0.06309,0.0158100000000005,0.5567,0.07946,0.81594,0.02233,0.15764,0.0984100000000001,0.0271999999999999,61.01627,627.45574,641.48663,451.31223,651.07631,0.0,308.14002,0.0,530.8932,125.70311,541.68721,468.0576,504.68726,490.42191,532.88246,376.64035,431.39075,653.7162,523.3636,130.3526,45661.51045,127.71271,-72.05137,0.359101,257.05846,78.39419,7.96313e-05,2.73279,1.01475e-05,13166700,7.69528e-08,27.7789,175.306,6.41054e-05,0.00570184,2.65445e-05,2.42374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.98846999999999
3.3,42.9,19.8,6.6,3.3,24.1,90.973577,3.899119,2.381535,0.395635,0.944136,0.533629,0.422389,0.074816,0.077305,0.024043,0.024637,0.249179,87.72124,2.0898,2.5024,0.003,0.42575,0.0,0.7629,0.11641,1.2718,0.01389,0.56523,0.00349,0.54415,0.30867,0.20722,67.78507,592.1932,626.12552,549.55476,665.96216,0.0,299.89137,0.0,542.09261,176.2811,533.26362,282.91521,498.69553,482.35545,537.15702,385.79679,491.51484,666.2484,532.1506,134.0978,83190.72345,133.81156,17.4041599999999,0.4245849,256.91104,78.71867,7.79083e-05,2.71136,1.01985e-05,12768300,7.83472e-08,27.6658,174.525,6.4221e-05,0.00572152,2.5965e-05,2.36977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.53595
6.6,23.1,19.8,13.2,13.2,24.1,91.470359,4.295713,1.62897,0.457345,0.833322,0.534883,0.436183,0.065807,0.057175,0.024736,0.025924,0.169583,89.21047,2.9819,2.4332,0.00286,0.29224,0.0,0.98251,0.16171,0.76039,0.01026,0.31906,0.00226,0.50552,0.48581,0.22917,47.72775,573.5623,626.86833,556.71354,662.79975,0.0,141.3483,0.0,544.58132,547.08419,505.87005,172.96224,419.56647,455.40128,540.33729,329.44226,516.40052,662.6767,535.5117,127.165,111907.36235,127.28805,21.2018399999999,0.4518184,255.30243,78.22081,7.76009e-05,2.69622,1.02077e-05,12915100,7.74524e-08,27.6397,177.827,6.56721e-05,0.0056206,2.58639e-05,2.36e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.37736000000001
6.6,42.9,0.0,16.5,13.2,20.8,90.942029,3.838135,2.52987,0.414445,0.843585,0.553825,0.461395,0.056831,0.07384,0.023911,0.025099,0.237035,87.33567,2.06549,2.59332,0.00139,0.61252,0.0,0.77448,0.0836500000000006,1.36483,0.01146,0.55984,0.00409,0.4198,0.36288,0.14113,36.35956,569.14715,626.18012,549.23173,662.76823,0.0,315.60443,0.0,543.00481,187.65201,533.31424,285.54163,491.22693,454.49558,534.6993,398.38168,513.47379,662.5306,532.345,130.1856,119488.52905,130.42323,16.8867299999999,0.4169423,255.94436,78.31959,7.77714e-05,2.71593,1.01943e-05,12766600,7.83622e-08,27.6699,173.869,6.40022e-05,0.00574595,2.59218e-05,2.36626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33055
